iter	RMSE
0	985453.184
1	767641.13
2	604141.7027
3	476113.4372
4	378391.2373
5	305913.3275
6	249663.2502
7	208281.3795
8	174410.7287
9	150773.2042
10	131733.1302
11	118246.2943
12	107771.1094
13	99932.58596
14	94947.83743
15	90376.74483
16	86834.55209
17	83429.51599
18	81214.88143
19	79089.94893
20	76920.07973
21	75418.80489
22	74440.11829
23	72784.93295
24	71771.45719
25	70741.41181
26	69196.23773
27	68141.11333
28	66960.85685
29	65835.80362
30	65241.7307
31	64109.08005
32	63215.89464
33	62530.60828
34	61674.30689
35	60673.59846
36	59562.49185
37	59194.2529
38	58378.73507
39	57462.99433
40	56993.64425
41	56379.6005
42	55518.3762
43	54945.39208
44	54397.91455
45	53915.09904
46	53446.30911
47	53250.58323
48	52587.89925
49	52247.87276
50	51786.93858
51	51142.08187
52	50654.45968
53	50507.18128
54	49769.22741
55	49381.24514
56	49042.1607
57	48583.67633
58	48038.43127
59	47286.66535
60	46794.52389
61	46365.0273
62	45919.7704
63	45552.90249
64	45226.5536
65	44861.06039
66	44363.36168
67	44035.9935
68	43595.84437
69	43341.38008
70	43199.06069
71	42902.89374
72	42524.61547
73	42016.02817
74	41694.73703
75	41491.57145
76	41237.53285
77	41073.57269
78	40746.03738
79	40297.72495
80	40055.17061
81	39723.05455
82	39454.52245
83	39150.45024
84	38863.22134
85	38619.49916
86	38433.53018
87	38292.0268
88	38028.96282
89	37820.97689
90	37643.98976
91	37400.67121
92	37035.08171
93	36800.81427
94	36634.30256
95	36464.29265
96	36212.84586
97	36050.39305
98	35840.49446
99	35636.91709
100	35443.31574
101	35232.77486
102	35086.22071
103	34904.82074
104	34668.33979
105	34505.52319
106	34335.97411
107	34149.40069
108	33895.38336
109	33710.50981
110	33611.09893
111	33472.4224
112	33321.12903
113	33157.92848
114	32971.10423
115	32766.16423
116	32654.28359
117	32527.0238
118	32384.41893
119	32247.7008
120	32140.31323
121	31980.83567
122	31826.43014
123	31717.55383
124	31595.43845
125	31493.89541
126	31339.03864
127	31197.38907
128	31067.84288
129	30977.27485
130	30892.32333
131	30773.57765
132	30665.01384
133	30535.90295
134	30418.31889
135	30287.64515
136	30179.84238
137	30095.11508
138	29991.5987
139	29922.74008
140	29788.42872
141	29641.31969
142	29539.29611
143	29469.6859
144	29386.70269
145	29306.20379
146	29217.98368
147	29055.19582
148	28939.7362
149	28871.13447
150	28781.47502
151	28656.40496
152	28557.05507
153	28501.66926
154	28399.65224
155	28333.00237
156	28212.92804
157	28126.70301
158	28022.53308
159	27941.50324
160	27828.85694
161	27749.9685
162	27675.0291
163	27601.96389
164	27503.06164
165	27360.63412
166	27271.02964
167	27178.42532
168	27070.02091
169	26966.28487
170	26865.99865
171	26773.58167
172	26716.54261
173	26652.18634
174	26592.62976
175	26530.13867
176	26447.985
177	26379.32547
178	26298.83601
179	26220.43562
180	26155.29986
181	26044.95472
182	25987.05998
183	25911.97148
184	25847.07729
185	25766.9826
186	25691.60868
